Name,Alternative Names,UniProt ID,ChEMBL_target,,source,Function,Pathways
HTR2B,"5HT2B_HUMAN, 5-hydroxytryptamine receptor 2B",P41595,CHEMBL1833,,list,"G-protein coupled receptor for 5-hydroxytryptamine (serotonin) (PubMed:18703043, PubMed:23519210, PubMed:7926008, PubMed:8078486, PubMed:8143856, PubMed:8882600). Also functions as a receptor for various ergot alkaloid derivatives and psychoactive substances (PubMed:12970106, PubMed:18703043, PubMed:23519210, PubMed:23519215, PubMed:24357322, PubMed:28129538, PubMed:30127358, PubMed:36087581, PubMed:7926008, PubMed:8078486, PubMed:8143856). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:23519215, PubMed:28129538, PubMed:8078486, PubMed:8143856, PubMed:8882600). HTR2B is coupled to G(q)/G(11) G alpha proteins and activates phospholipase C-beta, releasing diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) second messengers that modulate the activity of phosphatidylinositol 3-kinase and promote the release of Ca(2+) ions from intracellular stores, respectively (PubMed:18703043, PubMed:23519215, PubMed:28129538, PubMed:30127358, PubMed:36087581, PubMed:8078486, PubMed:8143856, PubMed:8882600). Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathways (PubMed:23519215, PubMed:28129538, PubMed:30127358, PubMed:36087581). Plays a role in the regulation of dopamine and 5-hydroxytryptamine release, 5-hydroxytryptamine uptake and in the regulation of extracellular dopamine and 5-hydroxytryptamine levels, and thereby affects neural activity. May play a role in the perception of pain (By similarity). Plays a role in the regulation of behavior, including impulsive behavior (PubMed:21179162). Required for normal proliferation of embryonic cardiac myocytes and normal heart development (By similarity). Protects cardiomyocytes against apoptosis (By similarity). Plays a role in the adaptation of pulmonary arteries to chronic hypoxia (By similarity). Plays a role in vasoconstriction (By similarity). Required for normal osteoblast function and proliferation, and for maintaining normal bone density (By similarity). Required for normal proliferation of the interstitial cells of Cajal in the intestine (By similarity)",R-HSA-390666; R-HSA-416476
SERT,"SC6A4_HUMAN, Sodium-dependent serotonin transporter",P31645,CHEMBL228,,list,"Serotonin transporter that cotransports serotonin with one Na(+) ion in exchange for one K(+) ion and possibly one proton in an overall electroneutral transport cycle. Transports serotonin across the plasma membrane from the extracellular compartment to the cytosol thus limiting serotonin intercellular signaling (PubMed:10407194, PubMed:12869649, PubMed:21730057, PubMed:27049939, PubMed:27756841, PubMed:34851672). Essential for serotonin homeostasis in the central nervous system. In the developing somatosensory cortex, acts in glutamatergic neurons to control serotonin uptake and its trophic functions accounting for proper spatial organization of cortical neurons and elaboration of sensory circuits. In the mature cortex, acts primarily in brainstem raphe neurons to mediate serotonin uptake from the synaptic cleft back into the pre-synaptic terminal thus terminating serotonin signaling at the synapse (By similarity). Modulates mucosal serotonin levels in the gastrointestinal tract through uptake and clearance of serotonin in enterocytes. Required for enteric neurogenesis and gastrointestinal reflexes (By similarity). Regulates blood serotonin levels by ensuring rapid high affinity uptake of serotonin from plasma to platelets, where it is further stored in dense granules via vesicular monoamine transporters and then released upon stimulation (PubMed:17506858, PubMed:18317590). Mechanistically, the transport cycle starts with an outward-open conformation having Na1(+) and Cl(-) sites occupied. The binding of a second extracellular Na2(+) ion and serotonin substrate leads to structural changes to outward-occluded to inward-occluded to inward-open, where the Na2(+) ion and serotonin are released into the cytosol. Binding of intracellular K(+) ion induces conformational transitions to inward-occluded to outward-open and completes the cycle by releasing K(+) possibly together with a proton bound to Asp-98 into the extracellular compartment. Na1(+) and Cl(-) ions remain bound throughout the transport cycle (PubMed:10407194, PubMed:12869649, PubMed:21730057, PubMed:27049939, PubMed:27756841, PubMed:34851672). Additionally, displays serotonin-induced channel-like conductance for monovalent cations, mainly Na(+) ions. The channel activity is uncoupled from the transport cycle and may contribute to the membrane resting potential or excitability (By similarity)",R-HSA-380615
SLC6A4,"SC6A4_HUMAN, Sodium-dependent serotonin transporter",P31645,CHEMBL228,,list,"Serotonin transporter that cotransports serotonin with one Na(+) ion in exchange for one K(+) ion and possibly one proton in an overall electroneutral transport cycle. Transports serotonin across the plasma membrane from the extracellular compartment to the cytosol thus limiting serotonin intercellular signaling (PubMed:10407194, PubMed:12869649, PubMed:21730057, PubMed:27049939, PubMed:27756841, PubMed:34851672). Essential for serotonin homeostasis in the central nervous system. In the developing somatosensory cortex, acts in glutamatergic neurons to control serotonin uptake and its trophic functions accounting for proper spatial organization of cortical neurons and elaboration of sensory circuits. In the mature cortex, acts primarily in brainstem raphe neurons to mediate serotonin uptake from the synaptic cleft back into the pre-synaptic terminal thus terminating serotonin signaling at the synapse (By similarity). Modulates mucosal serotonin levels in the gastrointestinal tract through uptake and clearance of serotonin in enterocytes. Required for enteric neurogenesis and gastrointestinal reflexes (By similarity). Regulates blood serotonin levels by ensuring rapid high affinity uptake of serotonin from plasma to platelets, where it is further stored in dense granules via vesicular monoamine transporters and then released upon stimulation (PubMed:17506858, PubMed:18317590). Mechanistically, the transport cycle starts with an outward-open conformation having Na1(+) and Cl(-) sites occupied. The binding of a second extracellular Na2(+) ion and serotonin substrate leads to structural changes to outward-occluded to inward-occluded to inward-open, where the Na2(+) ion and serotonin are released into the cytosol. Binding of intracellular K(+) ion induces conformational transitions to inward-occluded to outward-open and completes the cycle by releasing K(+) possibly together with a proton bound to Asp-98 into the extracellular compartment. Na1(+) and Cl(-) ions remain bound throughout the transport cycle (PubMed:10407194, PubMed:12869649, PubMed:21730057, PubMed:27049939, PubMed:27756841, PubMed:34851672). Additionally, displays serotonin-induced channel-like conductance for monovalent cations, mainly Na(+) ions. The channel activity is uncoupled from the transport cycle and may contribute to the membrane resting potential or excitability (By similarity)",R-HSA-380615
DAT1,"DIDO1_HUMAN, Death-inducer obliterator 1",Q9BTC0,,no info,list,"Putative transcription factor, weakly pro-apoptotic when overexpressed (By similarity). Tumor suppressor. Required for early embryonic stem cell development",R-HSA-1221632
SLC6A3,"SC6A3_HUMAN, Sodium-dependent dopamine transporter",Q01959,CHEMBL238,,list,"Mediates sodium- and chloride-dependent transport of dopamine (PubMed:10375632, PubMed:11093780, PubMed:1406597, PubMed:15505207, PubMed:19478460, PubMed:39112701, PubMed:39112703, PubMed:39112705, PubMed:8302271). Also mediates sodium- and chloride-dependent transport of norepinephrine (also known as noradrenaline) (By similarity). Regulator of light-dependent retinal hyaloid vessel regression, downstream of OPN5 signaling (By similarity)",R-HSA-379401; R-HSA-442660; R-HSA-5619081; R-HSA-5660724
NET noradrenaline transporter,"SC6A2_HUMAN, Sodium-dependent noradrenaline transporter",P23975,CHEMBL222,,list,"Mediates sodium- and chloride-dependent transport of norepinephrine (also known as noradrenaline), the primary signaling neurotransmitter in the autonomic sympathetic nervous system (PubMed:2008212, PubMed:8125921, PubMed:38750358). Is responsible for norepinephrine re-uptake and clearance from the synaptic cleft, thus playing a crucial role in norepinephrine inactivation and homeostasis (By similarity). Can also mediate sodium- and chloride-dependent transport of dopamine (PubMed:11093780, PubMed:8125921, PubMed:39395208, PubMed:39048818)",R-HSA-442660; R-HSA-5619109
NAT,"NAT8_HUMAN, N-acetyltransferase 8",Q9UHE5,,no info,list,"Endoplasmic reticulum (ER)-membrane-bound lysine N-acetyltransferase catalyzing the N6-acetylation of lysine residues in the lumen of the ER in various proteins, including PROM1 and BACE1, using acetyl-CoA as acetyl donor (PubMed:19011241, PubMed:22267734, PubMed:24556617, PubMed:31945187). Thereby, may regulate apoptosis through the acetylation and the regulation of the expression of PROM1 (PubMed:24556617). May also regulate amyloid beta-peptide secretion through acetylation of BACE1 and the regulation of its expression in neurons (PubMed:19011241). N(6)-lysine acetylation in the ER maintains protein homeostasis and regulates reticulophagy (By similarity). Alternatively, acetylates the free alpha-amino group of cysteine S-conjugates to form mercapturic acids (PubMed:20392701). This is the final step in a major route for detoxification of a wide variety of reactive electrophiles which starts with their incorporation into glutathione S-conjugates. The glutathione S-conjugates are then further processed into cysteine S-conjugates and finally mercapturic acids which are water soluble and can be readily excreted in urine or bile",R-HSA-977225
SLC6A2,"SC6A2_HUMAN, Sodium-dependent noradrenaline transporter",P23975,CHEMBL222,,list,"Mediates sodium- and chloride-dependent transport of norepinephrine (also known as noradrenaline), the primary signaling neurotransmitter in the autonomic sympathetic nervous system (PubMed:2008212, PubMed:8125921, PubMed:38750358). Is responsible for norepinephrine re-uptake and clearance from the synaptic cleft, thus playing a crucial role in norepinephrine inactivation and homeostasis (By similarity). Can also mediate sodium- and chloride-dependent transport of dopamine (PubMed:11093780, PubMed:8125921, PubMed:39395208, PubMed:39048818)",R-HSA-442660; R-HSA-5619109
Adrenergic receptor A1,"ADA1A_HUMAN, Alpha-1A adrenergic receptor",P35348,CHEMBL229,,list,This alpha-adrenergic receptor mediates its action by association with G proteins that activate a phosphatidylinositol-calcium second messenger system. Its effect is mediated by G(q) and G(11) proteins. Nuclear ADRA1A-ADRA1B heterooligomers regulate phenylephrine(PE)-stimulated ERK signaling in cardiac myocytes,R-HSA-390696; R-HSA-416476; R-HSA-416482
Adrenergic receptor A2,"ADA2A_HUMAN, Alpha-2A adrenergic receptor",P08913,CHEMBL1867,,list,"Alpha-2 adrenergic receptors mediate the catecholamine-induced inhibition of adenylate cyclase through the action of G proteins. The rank order of potency for agonists of this receptor is oxymetazoline > clonidine > epinephrine > norepinephrine > phenylephrine > dopamine > p-synephrine > p-tyramine > serotonin = p-octopamine. For antagonists, the rank order is yohimbine > phentolamine = mianserine > chlorpromazine = spiperone = prazosin > propanolol > alprenolol = pindolol",R-HSA-390696; R-HSA-392023; R-HSA-400042; R-HSA-418594; R-HSA-418597; R-HSA-5683826
Adrenergic receptor B1,"ADRB1_HUMAN, Beta-1 adrenergic receptor",P08588,CHEMBL213,,list,Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. This receptor binds epinephrine and norepinephrine with approximately equal affinity. Mediates Ras activation through G(s)-alpha- and cAMP-mediated signaling. Involved in the regulation of sleep/wake behaviors (PubMed:31473062),R-HSA-390696; R-HSA-418555
Adrenergic receptor B2,"ADRB2_HUMAN, Beta-2 adrenergic receptor",P07550,CHEMBL210,,list,Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30-fold greater affinity than it does norepinephrine,R-HSA-390696; R-HSA-418555; R-HSA-5689880; R-HSA-8856825; R-HSA-8856828
Cannabinoid receptor CB1,"CNRP1_HUMAN, CB1 cannabinoid receptor-interacting protein 1",Q96F85,,no info,list,Suppresses cannabinoid receptor CNR1-mediated tonic inhibition of voltage-gated calcium channels,
Cannabinoid receptor CB2,"CNR2_HUMAN, Cannabinoid receptor 2",P34972,CHEMBL253,,list,"Heterotrimeric G protein-coupled receptor for endocannabinoid 2-arachidonoylglycerol mediating inhibition of adenylate cyclase. May function in inflammatory response, nociceptive transmission and bone homeostasis",R-HSA-373076; R-HSA-418594
Muscarinic receptor M1,"ACM1_HUMAN, Muscarinic acetylcholine receptor M1",P11229,CHEMBL216,,list,"The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is Pi turnover",R-HSA-390648; R-HSA-416476
Muscarinic receptor M2,"ACM2_HUMAN, Muscarinic acetylcholine receptor M2",P08172,CHEMBL211,,list,"The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is adenylate cyclase inhibition. Signaling promotes phospholipase C activity, leading to the release of inositol trisphosphate (IP3); this then triggers calcium ion release into the cytosol",R-HSA-390648; R-HSA-418594; R-HSA-8856825; R-HSA-8856828
Muscarinic receptor M3,"ACM3_HUMAN, Muscarinic acetylcholine receptor M3",P20309,CHEMBL245,,list,"The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is Pi turnover",R-HSA-390648; R-HSA-399997; R-HSA-416476
nicotinic nAChR,ACH10_HUMAN Neuronal acetylcholine receptor subunit alpha-10,Q9GZZ6,CHEMBL2109238,complex,list,"Component of neuronal acetylcholine receptors (nAChRs) that function as pentameric, ligand-gated cation channels with high calcium permeability. nAChRs are excitatory neurotrasnmitter receptors formed by a collection of nAChR subunits. Each nAchR subunit confers differential attributes to channel properties, including activation, deactivation and desensitization kinetics, pH sensitivity, cation permeability, and binding to allosteric modulators (Probable). Forms heteropentamers with CHRNA9. Expressed in the inner ear, in sympathetic neurons and in other non-neuronal cells, such as skin keratinocytes and lymphocytes (PubMed:11752216, PubMed:15531379). nAChR formed by CHRNA9:CHRNA10 is involved in modulation of auditory stimuli. The channel is permeable to a range of divalent cations including calcium, the influx of which may activate a potassium current which hyperpolarizes the cell membrane. In the ear, mediates synaptic transmission between efferent olivocochlear fibers and hair cells of the cochlea, this may lead to a reduction in basilar membrane motion, altering the activity of auditory nerve fibers and reducing the range of dynamic hearing (PubMed:11752216). This may protect against acoustic trauma. May also regulate keratinocyte adhesion (By similarity)",R-HSA-9667769
nicotinic nAChR,ACHA9_HUMAN Neuronal acetylcholine receptor subunit alpha-9,Q9UGM1,CHEMBL2184,,list,"Component of neuronal acetylcholine receptors (nAChRs) that function as pentameric, ligand-gated cation channels with high calcium permeability among other activities. nAChRs are excitatory neurotrasnmitter receptors formed by a collection of nAChR subunits known to mediate synaptic transmission in the nervous system and the neuromuscular junction. Each nAchR subunit confers differential attributes to channel properties, including activation, deactivation and desensitization kinetics, pH sensitivity, cation permeability, and binding to allosteric modulators (PubMed:11752216, PubMed:18723036, PubMed:25282151). Forms either homopentamers or heteropentamers with CHRNA10. Expressed in the inner ear, in sympathetic neurons and in other non-neuronal cells, such as skin keratinocytes and lymphocytes (PubMed:11752216, PubMed:18723036). nAChR formed by CHRNA9:CHRNA10 mediate central nervous system control of auditory and vestibular sensory processing. The channel is permeable to a range of divalent cations including calcium, the influx of which may activate a potassium current which hyperpolarizes the cell membrane (PubMed:11752216, PubMed:25282151). In the ear, mediates synaptic transmission between efferent olivocochlear fibers and hair cells of the cochlea, this may lead to a reduction in basilar membrane motion, altering the activity of auditory nerve fibers and reducing the range of dynamic hearing. This may protect against acoustic trauma (By similarity). May also regulate keratinocyte adhesion (PubMed:11021840, PubMed:11752216, PubMed:25282151)",R-HSA-629594; R-HSA-9667769
nicotinic nAChR,ACHA7_HUMAN Neuronal acetylcholine receptor subunit alpha-7,P36544,CHEMBL2492,,list,"Component of neuronal acetylcholine receptors (nAChRs) that function as pentameric, ligand-gated cation channels with high calcium permeability among other activities. nAChRs are excitatory neurotrasnmitter receptors formed by a collection of nAChR subunits known to mediate synaptic transmission in the nervous system and the neuromuscular junction. Each nAchR subunit confers differential attributes to channel properties, including activation, deactivation and desensitization kinetics, pH sensitivity, cation permeability, and binding to allosteric modulators (PubMed:15609996, PubMed:33735609, PubMed:8145738). CHRNA7 forms homopentameric neuronal acetylcholine receptors abundantly expressed in the central nervous system, characterized by fast desensitization and high calcium permeability (PubMed:31560909, PubMed:33735609, PubMed:38382524, PubMed:8145738). Also forms heteropentamers with CHRNB2, mainly expressed in basal forebrain cholinergic neurons. Involved in the modulation of calcium-dependent signaling pathways and influences the release of neurotransmitters, including dopamine, glutamate and GABA (PubMed:33239400). Also expressed in non-neuronal cells such as immune cells like lymphocytes, monocytes and macrophages (PubMed:12508119, PubMed:16968406, PubMed:25259522). In T cells, activation induces metabotropic signaling that results in an increase of intracellular Ca2+ concentrations, independent of ionotropic receptor functions (PubMed:17709503). In macrophages, required for acetylcholine-mediated inhibition of TNF and other inflammatory cytokine release (PubMed:12508119). Once activated by acetylcholine, nicotine or other agonists, selectively inhibits production of pro-inflammatory cytokines while leaving anti-inflammatory cytokines undisturbed (PubMed:12508119, PubMed:25259522). Stimulates the cholinergic anti-inflammatory pathway, controlling inflammation by inhibiting NFKB nuclear translocation and activating the JAK2-STAT3 pathway, independently of ion channel activity (PubMed:16968406, PubMed:25259522). Also expressed in the urothelium where it modulates reflex bladder activity by increasing intracellular calcium through internal stores and decreasing basal ATP release (By similarity)",R-HSA-629594
nicotinic nAChR,ACHA3_HUMAN Neuronal acetylcholine receptor subunit alpha-3,P32297,CHEMBL3068,,list,"Component of neuronal acetylcholine receptors (nAChRs) that function as pentameric, ligand-gated cation channels with high calcium permeability among other activities. nAChRs are excitatory neurotrasnmitter receptors formed by a collection of nAChR subunits known to mediate synaptic transmission in the nervous system and the neuromuscular junction. Each nAchR subunit confers differential attributes to channel properties, including activation, deactivation and desensitization kinetics, pH sensitivity, cation permeability, and binding to allosteric modulators (PubMed:31488329, PubMed:31708116). CHRNA3 forms heteropentameric neuronal acetylcholine receptors with CHRNB2 and CHRNB4, with CHRNA5, and CHRNB3 as accesory subunits (PubMed:20881005, PubMed:8663494). CHRNA3:CHRNB4 being predominant in neurons of the autonomic ganglia, it is known as ganglionic nicotinic receptor (PubMed:31488329). CHRNA3:CHRNB4 or CHRNA3:CHRNA5:CHRNB4 play also an important role in the habenulo-interpeduncular tract, modulating the mesolimbic dopamine system and affecting reward circuits and addiction (By similarity). Hypothalamic CHRNA3:CHRNB4 nAChR activation by nicotine leads to activation of POMC neurons and a decrease in food intake (By similarity). Also expressed in the urothelium where it modulates reflex bladder activity by increasing intracellular calcium through extracellular influx and basal ATP release (By similarity)",R-HSA-629587; R-HSA-629594; R-HSA-629597
nicotinic nAChR,ACHA5_HUMAN Neuronal acetylcholine receptor subunit alpha-5,P30532,CHEMBL3137272,complex,list,"Component of neuronal acetylcholine receptors (nAChRs) that function as pentameric, ligand-gated cation channels with high calcium permeability among other activities. nAChRs are excitatory neurotrasnmitter receptors formed by a collection of nAChR subunits known to mediate synaptic transmission in the nervous system and the neuromuscular junction. Each nAchR subunit confers differential attributes to channel properties, including activation, deactivation and desensitization kinetics, pH sensitivity, cation permeability, and binding to allosteric modulators (PubMed:20881005, PubMed:8663494). Has an accessory rather than functional role and is only able to form functional nAChRs when co-assembled with another beta subunit (PubMed:20881005, PubMed:8663494). Participates in pentameric assemblies along with CHRNA3, CHRNA4, CHRNB2 and CHRNB4 (PubMed:20881005, PubMed:8663494). Increases receptor sensitivity to acetylcholine and nicotine when associated with CHRNA4 and CHRNB2 (PubMed:8663494). Plays a role in nicotine addiction (PubMed:20881005)",R-HSA-629594; R-HSA-629597
Phosphodiesterase 3A,"ASM3A_HUMAN, Acid sphingomyelinase-like phosphodiesterase 3a",Q92484,,,list,"Cyclic-nucleotide phosphodiesterase that acts as a negative regulator of innate immunity by mediating degradation of 2',3'-cGAMP, thereby inhibiting the cGAS-STING signaling (PubMed:37890481). Specifically linearizes 2',3'-cGAMP into 2'5'-bond pGpA and further hydrolyzes pGpA to produce GpA (PubMed:37890481). Also has in vitro nucleotide phosphodiesterase activity with nucleoside triphosphates, such as ATP (PubMed:25288789, PubMed:26783088). Has in vitro activity with p-nitrophenyl-TMP (PubMed:25288789). Has lower activity with nucleoside diphosphates, and no activity with nucleoside monophosphates (PubMed:25288789, PubMed:26783088, PubMed:28104755). Has in vitro activity with CDP-choline, giving rise to CMP and phosphocholine. Has in vitro activity with CDP-ethanolamine (PubMed:26783088). Does not have sphingomyelin phosphodiesterase activity (PubMed:25288789, PubMed:26783088)",
GABA alpha 1,"GABPA_HUMAN, GA-binding protein alpha chain",Q06546,,,list,Transcription factor capable of interacting with purine rich repeats (GA repeats). Positively regulates transcription of transcriptional repressor RHIT/ZNF205 (PubMed:22306510),R-HSA-2151201
Histamine H1,"HRH1_HUMAN, Histamine H1 receptor",P35367,CHEMBL231,,list,"G-protein-coupled receptor for histamine, a biogenic amine that functions as an immune modulator and a neurotransmitter (PubMed:33828102, PubMed:8280179). Through the H1 receptor, histamine mediates the contraction of smooth muscles and increases capillary permeability due to contraction of terminal venules. Also mediates neurotransmission in the central nervous system and thereby regulates circadian rhythms, emotional and locomotor activities as well as cognitive functions (By similarity)",R-HSA-390650; R-HSA-416476
hERG,"Eag homolog, Eag-related protein 1, ERG, ERG-1, ERG1, Ether-a-go-go-related gene potassium channel 1, Ether-a-go-go-related protein 1, H-ERG, HERG, hERG-1, hERG1, KCNH2, Potassium voltage-gated channel subfamily H member 2, Voltage-gated inwardly rectifying potassium channel KCNH2, Voltage-gated potassium channel subunit Kv11.1",Q12809,CHEMBL240,,addition,"Pore-forming (alpha) subunit of voltage-gated inwardly rectifying potassium channel (PubMed:10219239, PubMed:10753933, PubMed:10790218, PubMed:10837251, PubMed:11997281, PubMed:12063277, PubMed:18559421, PubMed:22314138, PubMed:22359612, PubMed:26363003, PubMed:27916661, PubMed:9230439, PubMed:9351446, PubMed:9765245). Channel properties are modulated by cAMP and subunit assembly (PubMed:10837251). Characterized by unusual gating kinetics by producing relatively small outward currents during membrane depolarization and large inward currents during subsequent repolarization which reflect a rapid inactivation during depolarization and quick recovery from inactivation but slow deactivation (closing) during repolarization (PubMed:10219239, PubMed:10753933, PubMed:10790218, PubMed:10837251, PubMed:11997281, PubMed:12063277, PubMed:18559421, PubMed:22314138, PubMed:22359612, PubMed:26363003, PubMed:27916661, PubMed:9230439, PubMed:9351446, PubMed:9765245). Forms a stable complex with KCNE1 or KCNE2, and that this heteromultimerization regulates inward rectifier potassium channel activity (PubMed:10219239, PubMed:9230439)",R-HSA-1296072; R-HSA-5576890
OATP1B1,"Solute carrier organic anion transporter family member 1B1, Liver-specific organic anion transporter 1, LST-1, LST1",Q9Y6L6,CHEMBL1697668,,addition,"Mediates the Na(+)-independent uptake of organic anions (PubMed:10358072, PubMed:15159445, PubMed:17412826). Shows broad substrate specificity, can transport both organic anions such as bile acid taurocholate (cholyltaurine) and conjugated steroids (dehydroepiandrosterone 3-sulfate, 17-beta-glucuronosyl estradiol, and estrone 3-sulfate), as well as eicosanoids (prostaglandin E2, thromboxane B2, leukotriene C4, and leukotriene E4), and thyroid hormones (T4/L-thyroxine, and T3/3,3',5'-triiodo-L-thyronine) (PubMed:10358072, PubMed:10601278, PubMed:10873595, PubMed:11159893, PubMed:12196548, PubMed:12568656, PubMed:15159445, PubMed:15970799, PubMed:16627748, PubMed:17412826, PubMed:19129463, PubMed:26979622). Can take up bilirubin glucuronides from plasma into the liver, contributing to the detoxification-enhancing liver-blood shuttling loop (PubMed:22232210). Involved in the clearance of endogenous and exogenous substrates from the liver (PubMed:10358072, PubMed:10601278). Transports coproporphyrin I and III, by-products of heme synthesis, and may be involved in their hepatic disposition (PubMed:26383540). May contribute to regulate the transport of organic compounds in testes across the blood-testis-barrier (Probable). Can transport HMG-CoA reductase inhibitors (also known as statins), such as pravastatin and pitavastatin, a clinically important class of hypolipidemic drugs (PubMed:10601278, PubMed:15159445, PubMed:15970799). May play an important role in plasma and tissue distribution of the structurally diverse chemotherapeutic drug methotrexate (PubMed:23243220). May also transport antihypertension agents, such as the angiotensin-converting enzyme (ACE) inhibitor prodrug enalapril, and the highly selective angiotensin II AT1-receptor antagonist valsartan, in the liver (PubMed:16624871, PubMed:16627748). Shows a pH-sensitive substrate specificity towards prostaglandin E2 and T4 which may be ascribed to the protonation state of the binding site and leads to a stimulation of substrate transport in an acidic microenvironment (PubMed:19129463). Hydrogencarbonate/HCO3(-) acts as the probable counteranion that exchanges for organic anions (PubMed:19129463)",R-HSA-159418; R-HSA-189483; R-HSA-5619110; R-HSA-879518; R-HSA-9754706
OATP1B3,"Solute carrier organic anion transporter family member 1B3, Liver-specific organic anion transporter 2, LST-2, LST2",Q9NPD5,CHEMBL1743121,,addition,"Mediates the Na(+)-independent uptake of organic anions (PubMed:10779507, PubMed:15159445, PubMed:17412826). Shows broad substrate specificity, can transport both organic anions such as bile acid taurocholate (cholyltaurine) and conjugated steroids (17-beta-glucuronosyl estradiol, dehydroepiandrosterone sulfate (DHEAS), and estrone 3-sulfate), as well as eicosanoid leukotriene C4, prostaglandin E2 and L-thyroxine (T4) (PubMed:10779507, PubMed:11159893, PubMed:12568656, PubMed:15159445, PubMed:17412826, PubMed:19129463). Hydrogencarbonate/HCO3(-) acts as the probable counteranion that exchanges for organic anions (PubMed:19129463). Shows a pH-sensitive substrate specificity towards sulfated steroids, taurocholate and T4 which may be ascribed to the protonation state of the binding site and leads to a stimulation of substrate transport in an acidic microenvironment (PubMed:19129463). Involved in the clearance of bile acids and organic anions from the liver (PubMed:22232210). Can take up bilirubin glucuronides from plasma into the liver, contributing to the detoxification-enhancing liver-blood shuttling loop (PubMed:22232210). Transports coproporphyrin I and III, by-products of heme synthesis, and may be involved in their hepatic disposition (PubMed:26383540). May contribute to regulate the transport of organic compounds in testes across the blood-testis-barrier (Probable). Can transport HMG-CoA reductase inhibitors (also known as statins) such as pitavastatin, a clinically important class of hypolipidemic drugs (PubMed:15159445). May play an important role in plasma and tissue distribution of the structurally diverse chemotherapeutic drugs methotrexate and paclitaxel (PubMed:23243220). May also transport antihypertension agents, such as the angiotensin-converting enzyme (ACE) inhibitor prodrug enalapril, and the highly selective angiotensin II AT1-receptor antagonist valsartan, in the liver (PubMed:16624871, PubMed:16627748)",R-HSA-159418; R-HSA-189483; R-HSA-5619058; R-HSA-879518; R-HSA-9754706
OATP2B1,"Solute carrier organic anion transporter family member 2B1, KIAA0880",O94956,CHEMBL1743124,,addition,"Mediates the Na(+)-independent transport of steroid sulfate conjugates and other specific organic anions (PubMed:10873595, PubMed:11159893, PubMed:11932330, PubMed:12724351, PubMed:14610227, PubMed:16908597, PubMed:18501590, PubMed:20507927, PubMed:22201122, PubMed:23531488, PubMed:25132355, PubMed:26383540, PubMed:27576593, PubMed:28408210, PubMed:29871943, PubMed:34628357). Responsible for the transport of estrone 3-sulfate (E1S) through the basal membrane of syncytiotrophoblast, highlighting a potential role in the placental absorption of fetal-derived sulfated steroids including the steroid hormone precursor dehydroepiandrosterone sulfate (DHEA-S) (PubMed:11932330, PubMed:12409283). Also facilitates the uptake of sulfated steroids at the basal/sinusoidal membrane of hepatocytes, therefore accounting for the major part of organic anions clearance of liver (PubMed:11159893). Mediates the intestinal uptake of sulfated steroids (PubMed:12724351, PubMed:28408210). Mediates the uptake of the neurosteroids DHEA-S and pregnenolone sulfate (PregS) into the endothelial cells of the blood-brain barrier as the first step to enter the brain (PubMed:16908597, PubMed:25132355). Also plays a role in the reuptake of neuropeptides such as substance P/TAC1 and vasoactive intestinal peptide/VIP released from retinal neurons (PubMed:25132355). May act as a heme transporter that promotes cellular iron availability via heme oxygenase/HMOX2 and independently of TFRC (PubMed:35714613). Also transports heme by-product coproporphyrin III (CPIII), and may be involved in their hepatic disposition (PubMed:26383540). Mediates the uptake of other substrates such as prostaglandins D2 (PGD2), E1 (PGE1) and E2 (PGE2), taurocholate, L-thyroxine, leukotriene C4 and thromboxane B2 (PubMed:10873595, PubMed:14610227, PubMed:19129463, PubMed:29871943, Ref.25). May contribute to regulate the transport of organic compounds in testis across the blood-testis-barrier (Probable). Shows a pH-sensitive substrate specificity which may be ascribed to the protonation state of the binding site and leads to a stimulation of substrate transport in an acidic microenvironment (PubMed:14610227, PubMed:19129463, PubMed:22201122). The exact transport mechanism has not been yet deciphered but most likely involves an anion exchange, coupling the cellular uptake of organic substrate with the efflux of an anionic compound (PubMed:19129463, PubMed:20507927, PubMed:26277985). Hydrogencarbonate/HCO3(-) acts as a probable counteranion that exchanges for organic anions (PubMed:19129463). Cytoplasmic glutamate may also act as counteranion in the placenta (PubMed:26277985). An inwardly directed proton gradient has also been proposed as the driving force of E1S uptake with a (H(+):E1S) stoichiometry of (1:1) (PubMed:20507927)",R-HSA-189483; R-HSA-879518; R-HSA-9749641; R-HSA-9754706
